,,,,,,,,,,,,,Individual Badge Doses (in microSV) for personnel type,,,,,,,,,Surrogate for Patient Dose
Procedure date,Patient,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,Breed,"Sex (FI, FS, MI, MN)","Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Faculty,Tech 1,Resident 1,Resident 2,TEE,Anesthesia,Patient,Total fluoro time (sec),Total fluoro time (min),DAP Total (Gycm2)
4/12/2023,Ivy,485169,3.8,9/10/2022,214,7.13,Canine,BPV,50,BPV,50,N,0.48,0,4.51,0.02,n/a,1.74,10,415,6.92,0.90
4/12/2023,Kyra,477795,28.6,8/6/2012,3901,130.03,Canine,PMI,115,PMI,115,N,2.41,0.01,5.09,3,n/a,2.33,50,324,5.40,3.86
4/19/2023,Bella,242587,23,7/13/2017,2106,70.20,Canine,PV Stent,173,PV Stent,173,N,6.04,0.02,48.21,16.25,1.41,146.79,NB,"2,243.00",37.38,40.80
4/20/2023,Bleu,481695,14.7,7/2/2021,657,21.90,Canine,BPV,50,BPV,50,N,1.13,0,7.16,7.78,n/a,8.24,0.05,318,5.30,6.85
5/3/2023,Callie,483852,5,12/7/2022,147,4.90,Canine,PDA,81,PDA,81,N,0.02,0.08,1.21,0.18,NB,1.03,NB,275,4.58,0.95
5/10/2023,Misty,487285,8.2,1/15/2023,115,3.83,Canine,PDA,110,PDA,110,N,1.91,0.08,1.33,1.59,0.59,0.79,10,113,1.88,0.82
5/10/2023,Cotton,483835,13.5,5/21/2010,4737,157.90,Canine,PMI,120,PMI,120,N,5.4,0,37.09,3.59,0.89,39.45,20,556,9.27,9.69
5/17/2023,Beans,481365,4.4,9/20/2022,239,7.97,Canine,BPV,45,BPV,45,N,0.64,0,4.66,0.21,n/a,0.13,10,264,4.40,1.17
5/17/2023,Klay ,487352,4.2,4/18/2015,2951,98.37,Canine,PDA,110,PDA,110,N,3.84,0.05,6.61,0.3,3.84,1.02,10,273,4.55,1.05
5/24/2023,Marlo,487419,6.55,9/1/2021,630,21.00,Canine,PDA,125,PDA,125,N,1.44,0.01,1.58,0.94,0.69,NB,4,251,4.18,1.06
6/7/2023,Doby,479944,8.9,6/4/2022,368,12.27,Canine,BPV,135,BPV,135,N,4.29,0,12.64,0.33,n/a,0.41,49.45,301,5.02,2.14
6/14/2023,Raider,488669,21.5,10/1/2020,986,32.87,Canine,PDA,82,PDA,82,N,13,0.05,9.14,0.56,12.77,1.33,NB,692,11.53,17.95
6/28/2023,Badin,488867,5.9,3/15/2023,105,3.50,Canine,BPV,78,BPV,78,N,0.02,0,26.19,4.33,n/a,3.18,NB,676,11.27,5.26
7/5/2023,Evie,259242,4.36,11/26/2019,1317,43.90,Canine,PDA,68,PDA,68,N,0,0,1.33,0.08,0.64,0,NB,142,2.37,0.39
7/12/2023,Jade,485848,8.2,11/11/2022,243,8.10,Canine,PV Stent,87,PV Stent,87,N,4.61,0.43,59.68,5.32,20.28,1.43,71.97,907,15.12,12.87
